symbol,hourly_rate,annual_rate,mark_price,open_interest
BTC,-0.0005478600000000001,-4.7992536,86985.0,24435.4702
ETH,0.00125,10.95,2804.6,474118.1807999999
ATOM,-0.00896342,-78.5195592,2.2594,1866083.66
MATIC,0.0,0.0,0.37621,0.0
DYDX,0.00125,10.95,0.21755,14856422.6
SOL,-5.837e-05,-0.5113212,127.21,3192210.4799999995
AVAX,-0.0004128,-3.616128,13.006,1796889.42
BNB,-0.00097256,-8.519625600000001,830.53,38445.166
APE,0.00125,10.95,0.2361,4652462.4
OP,-0.0028727,-25.164852,0.28775,10052203.0
LTC,0.00038165,3.343254,77.995,211726.2
ARB,0.00125,10.95,0.19444,19907620.000000004
DOGE,0.00070969,6.2168844000000005,0.13554,222729566.0
INJ,-0.00180166,-15.7825416,5.303,425123.4
SUI,0.00048689,4.2651564,1.347,13711867.600000001
kPEPE,0.00125,10.95,0.004013,2481062154.0
CRV,0.00099927,8.7536052,0.38117,16522526.4
LDO,0.00060206,5.2740456,0.56134,8544833.399999999
LINK,0.00125,10.95,12.129,1650969.7999999998
STX,-0.00010868999999999999,-0.9521243999999999,0.27972,3990831.2
RNDR,0.0,0.0,6.8952,0.0
CFX,0.00125,10.95,0.069204,9609166.0
FTM,0.0,0.0,0.71688,0.0
GMX,-0.00548278,-48.0291528,8.1612,79760.48
SNX,-0.00031006,-2.7161256000000003,0.50953,1718964.8
XRP,0.00125,10.95,2.0171,97829034.0
BCH,0.00047122000000000006,4.127887200000001,522.43,10894.008
APT,-0.00502117,-43.9854492,1.94,5165033.12
AAVE,0.00125,10.95,168.93,145781.04
COMP,-0.019104450000000002,-167.354982,34.348,36661.48
MKR,0.0,0.0,1831.5,0.0
WLD,-0.00180799,-15.837992400000001,0.57321,8618132.0
FXS,-0.0063551400000000004,-55.6710264,0.78624,500453.4
HPOS,0.0,0.0,0.041873,0.0
RLB,0.0,0.0,0.071,0.0
UNIBOT,0.0,0.0,7.636,0.0
YGG,0.00042764,3.7461264000000005,0.070694,2373504.0
TRX,0.00108392,9.495139199999999,0.27714,26551684.0
kSHIB,-0.00316483,-27.7239108,0.007936,602479330.0
UNI,0.00125,10.95,5.4854,5330666.2
SEI,-0.00541557,-47.440393199999995,0.1227,27659654.0
RUNE,-0.00139654,-12.233690399999999,0.6111,4140977.0
